#A_init Textinction Texclusion
1 0.00075 50
100 0.00075 50
200 0.00075 50
300 0.00075 50
400 0.0015 50
350 0.00075 50
500 0.012207 50
600 0.0610352 50
700 0.292969 50
800 1.36719 50
900 3.125 50
1000 12.5 50
1100 50 50
1200 50 50
1300 50 50
1400 50 50
1500 50 50
